TrainLoss TrainAccuracy TestLoss TestAccuracy
2.30123 11.2373 2.3011 11.3256
2.30124 11.2373 2.30103 11.3256
2.30123 11.234 2.30113 11.3256
2.30125 11.239 2.30101 11.3555
2.30124 11.2357 2.30097 11.3256
2.30124 11.2373 2.30108 11.3256
2.30125 11.2357 2.30103 11.2958
2.30124 11.234 2.30095 11.4152
2.30124 11.234 2.3011 11.3555
2.30124 11.2373 2.30095 11.3854
2.30123 11.2357 2.30104 11.3256
2.30123 11.2373 2.30105 11.3256
2.30124 11.239 2.30094 11.3854
2.30124 11.2357 2.30115 11.3256
2.30124 11.2357 2.30104 11.2958
