Train_Loss Test_Loss Train_Accuracy Test_Accuracy PercentageRetain
0.021954 0.0851788 99.5167 97.61 100
0.021954 0.0851788 99.5167 97.61 80
0.0220583 0.0832408 99.55 97.62 64.0625
0.0264808 0.0783079 99.3933 97.56 51.25
0.025568 0.0821928 99.4467 97.57 40.9375
0.0259165 0.0821868 99.3917 97.41 32.8125
0.0219315 0.0859123 99.535 97.5 26.25
0.0295007 0.0987209 99.3017 97.26 20.9375
0.0559943 0.124227 98.46 96.41 16.875
0.138854 0.21958 96.2817 94.46 13.4375
0.253266 0.346406 93.755 92.02 10.625
2.30117 2.30107 11.2367 11.35 8.4375
2.30117 2.30106 11.2367 11.35 6.875
2.30116 2.30093 11.2367 11.35 5.625
2.30116 2.30106 11.2367 11.35 4.375

