TrainLoss TrainAccuracy TestLoss TestAccuracy
0.475646 87.3068 0.263463 93.5012
0.206396 94.8278 0.185756 95.0139
0.154635 95.8655 0.154309 95.621
0.125678 96.5968 0.133578 96.0092
0.107945 96.9883 0.121761 96.3674
0.0969218 97.3098 0.115839 96.467
0.0887002 97.508 0.108199 96.8551
0.0825514 97.6696 0.104076 96.8551
0.0771579 97.8128 0.103168 96.8053
0.0727909 97.9378 0.0982073 96.9546
0.0687086 98.0644 0.0967597 97.1736
0.0650858 98.151 0.0979282 97.0342
0.0618966 98.2393 0.0915448 97.3029
0.0591566 98.3459 0.0949377 97.084
0.0565682 98.3309 0.0913633 97.2432
0.0541093 98.4042 0.0896139 97.3925
0.0518017 98.4791 0.0875698 97.4622
0.0495313 98.5608 0.0889102 97.3925
0.0472712 98.6424 0.0860106 97.492
0.0454908 98.694 0.0891389 97.5318
0.043877 98.7523 0.085597 97.4821
0.0425048 98.8123 0.0862994 97.4323
0.0408281 98.8573 0.0828278 97.5916
0.0392921 98.8839 0.0867225 97.4025
0.0382406 98.8989 0.0876575 97.4821
0.0364586 98.9672 0.0849387 97.4622
0.035228 99.0139 0.0898426 97.4622
0.0338411 99.0405 0.0877446 97.5318
0.0326377 99.0905 0.087358 97.502
0.0313889 99.1471 0.0829874 97.6015
0.0305149 99.1654 0.0850868 97.6015
0.0297386 99.2021 0.0863542 97.4622
0.0283856 99.2387 0.084707 97.5717
