Train_Loss Test_Loss Train_Accuracy Test_Accuracy PercentageRetain
0.0244975 0.0837890 99.408 97.61 100
0.0244975 0.0831354 99.4083 97.61 80
0.026449 0.0832781 99.305 97.55 64.0625
0.0279852 0.0835026 99.2917 97.50 51.25
0.0367664 0.0828669 99.0367 97.58 40.9375
0.0386335 0.0898458 98.98 97.34 32.8125
0.0695378 0.142317 98.1517 96.17 26.25
0.246554 0.340634 93.9383 92.15 20.9375
0.902156 0.991527 74.8717 73.24 16.875
2.30117 2.30112 11.2367 11.35 13.4375
2.30117 2.30106 11.2367 11.35 10.625
2.30117 2.30111 11.2367 11.35 8.4375
2.30116 2.30086 11.2367 11.35 6.875
